Plant Type,lat,lon,geometry
Poison Ivy,39.5704225581,-105.0437321489,POINT (-105.0437321489 39.5704225581)
Poison Ivy,43.4632868926,-80.2556696814,POINT (-80.25566968139999 43.4632868926)
Poison Ivy,45.5064483333,-73.876115,POINT (-73.876115 45.5064483333)
Poison Ivy,45.5552207316,-74.4528805666,POINT (-74.4528805666 45.5552207316)
Poison Ivy,50.14443594,-96.84056789,POINT (-96.84056789 50.14443594)
Poison Ivy,44.27979667,-78.13398617,POINT (-78.13398617 44.27979667)
Poison Ivy,38.8536565612,-107.6374754963,POINT (-107.6374754963 38.8536565612)
Poison Ivy,45.0312563889,-73.0729130556,POINT (-73.0729130556 45.0312563889)
Poison Ivy,48.3442054512,-89.2827521135,POINT (-89.2827521135 48.3442054512)
Poison Ivy,46.7839246004,-86.1711021152,POINT (-86.1711021152 46.7839246004)
Poison Ivy,51.9086325574,-106.7215870453,POINT (-106.7215870453 51.9086325574)
Poison Ivy,50.7806805556,-121.0808944444,POINT (-121.0808944444 50.7806805556)
Poison Ivy,45.376897,-75.286613,POINT (-75.286613 45.376897)
Poison Ivy,46.2120629,-82.0709696,POINT (-82.0709696 46.2120629)
Poison Ivy,38.8537160308,-107.6366143395,POINT (-107.6366143395 38.8537160308)
Poison Ivy,47.6424728008,-117.2923245561,POINT (-117.2923245561 47.6424728008)
Poison Ivy,38.67337833,-100.91816667,POINT (-100.91816667 38.67337833)
Poison Ivy,46.5159066667,-64.1116133333,POINT (-64.1116133333 46.5159066667)
Poison Ivy,44.6027417448,-79.9353056346,POINT (-79.9353056346 44.6027417448)
Poison Ivy,46.8613292568,-71.1998870596,POINT (-71.1998870596 46.8613292568)
Poison Ivy,44.7798050311,-76.22907473,POINT (-76.22907472999999 44.7798050311)
Poison Ivy,43.2670738315,-81.8120775057,POINT (-81.8120775057 43.2670738315)
Poison Ivy,39.9897491708,-105.2888543131,POINT (-105.2888543131 39.9897491708)
Poison Ivy,46.33187565,-83.91808738,POINT (-83.91808738 46.33187565)
Poison Ivy,48.3685546619,-89.592209574,POINT (-89.59220957399999 48.3685546619)
Poison Ivy,43.4473374301,-117.117369864,POINT (-117.117369864 43.4473374301)
Poison Ivy,39.97448333,-105.26753833,POINT (-105.26753833 39.97448333)
Poison Ivy,45.3767878635,-75.2384087594,POINT (-75.2384087594 45.3767878635)
Poison Ivy,39.99743333,-105.29213667,POINT (-105.29213667 39.99743333)
Poison Ivy,50.79372,-103.8910819722,POINT (-103.8910819722 50.79372)
Poison Ivy,44.09704655,-77.9812199625,POINT (-77.98121996250001 44.09704655)
Poison Ivy,40.7858324974,-111.8829888769,POINT (-111.8829888769 40.7858324974)
Poison Ivy,45.018975,-78.62607,POINT (-78.62607 45.018975)
Poison Ivy,45.0531508215,-93.097552769,POINT (-93.097552769 45.0531508215)
Poison Ivy,43.6644206087,-79.5067503415,POINT (-79.50675034149999 43.6644206087)
Poison Ivy,44.2663391336,-94.0019285852,POINT (-94.00192858520001 44.2663391336)
Poison Ivy,41.2982753,-89.0685372,POINT (-89.06853719999999 41.2982753)
Poison Ivy,43.2377258146,-81.8430540338,POINT (-81.8430540338 43.2377258146)
Poison Ivy,45.48029667,-76.22098667,POINT (-76.22098667 45.48029667)
Poison Ivy,45.3160529,-79.9454962,POINT (-79.94549619999999 45.3160529)
Poison Ivy,43.2042748889,-79.7994243889,POINT (-79.79942438889999 43.2042748889)
Poison Ivy,43.2836569332,-81.8004397675,POINT (-81.8004397675 43.2836569332)
Poison Ivy,41.18431386,-73.82693539,POINT (-73.82693539 41.18431386)
Poison Ivy,43.7017278446,-79.3293053798,POINT (-79.3293053798 43.7017278446)
Poison Ivy,44.5462861111,-78.4986861111,POINT (-78.4986861111 44.5462861111)
Poison Ivy,44.79592745,-81.18987339,POINT (-81.18987339 44.79592745)
Virginia Creeper,33.093202063,-97.1218471333,POINT (-97.12184713329999 33.093202063)
Virginia Creeper,28.5959535833,-81.2919069722,POINT (-81.2919069722 28.5959535833)
Virginia Creeper,31.63010496,-94.64417479,POINT (-94.64417478999999 31.63010496)
Virginia Creeper,41.8579053783,-70.5273009372,POINT (-70.5273009372 41.8579053783)
Virginia Creeper,38.733207488,-77.707416438,POINT (-77.707416438 38.733207488)
Virginia Creeper,35.95124667,-83.86516667,POINT (-83.86516666999999 35.95124667)
Virginia Creeper,35.94940477,-83.86489767,POINT (-83.86489767 35.94940477)
